request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_54,16581.4,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-08-21. None of the available options keeps the ZAR 37,000 minimum protected."
request_55,176241.19,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-08-22. None of the available options keeps the INR 124,300 minimum protected."
request_56,881.56,affordable_with_plan,installments,2025-02-03:458.42|2025-03-03:458.42,2025-02-03,none,"Use 2 installments of USD 458.42, starting 2025-02-03. This leaves at least USD 2,100 available."
request_57,21214.6,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-06-15. None of the available options keeps the ZAR 42,700 minimum protected."
request_58,16226000.0,affordable_now,full_payment,2024-12-07:1.6226e+07,2024-12-07,none,"Pay IDR 16,226,000 today. This leaves at least IDR 14,433,900 available over the next 90 days."
request_59,140600.0,affordable_with_plan,installments,2025-05-07:48741.3|2025-06-04:48741.3|2025-07-02:48741.3,2025-05-04,none,"Use 3 installments of INR 48,741.30, starting 2025-05-07. This leaves at least INR 132,600 available."
request_60,199.89,affordable_now,full_payment,2026-01-06:199.89,2026-01-06,none,Pay USD 199.89 today. This leaves at least USD 400 available over the next 90 days.
request_61,29062.0,affordable_with_plan,installments,2024-03-17:10074.8|2024-04-17:10074.8|2024-05-18:10074.8,2024-03-03,none,"Use 3 installments of ZAR 10,074.80, starting 2024-03-17. This leaves at least ZAR 36,700 available."
request_62,404.23,affordable_now,full_payment,2025-08-05:404.23,2025-08-05,none,"Pay USD 404.23 today. This leaves at least USD 1,300 available over the next 90 days."
request_63,90145.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-09-17. None of the available options keeps the INR 153,500 minimum protected."
request_64,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-08-16. None of the available options keeps the INR 36,100 minimum protected."
request_65,13024.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-11-25. None of the available options keeps the ZAR 15,500 minimum protected."
request_66,22200.0,affordable_now,full_payment,2026-04-03:22200,2026-04-03,none,"Pay INR 22,200 today. This leaves at least INR 80,700 available over the next 90 days."
request_67,792.54,affordable_later,wait,2024-09-15:2094,2024-09-15,none,"Pay USD 2,094 in full on 2024-09-15. Paying earlier would take the balance below the USD 1,200 minimum."
request_68,2091.6,affordable_with_plan,installments,2025-02-14:725.09|2025-03-14:725.09|2025-04-11:725.09,2025-02-07,none,"Use 3 installments of USD 725.09, starting 2025-02-14. This leaves at least USD 1,500 available."
request_69,529.1,affordable_now,full_payment,2026-01-04:529.1,2026-01-04,none,Pay EUR 529.10 today. This leaves at least EUR 700 available over the next 90 days.
request_70,93360.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-02-15. None of the available options keeps the INR 115,000 minimum protected."
request_71,7485050.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-05-28. None of the available options keeps the IDR 8,884,800 minimum protected."
request_72,11330.0,affordable_now,full_payment,2026-07-05:11330,2026-07-05,none,"Pay ZAR 11,330 today. This leaves at least ZAR 12,200 available over the next 90 days."
request_73,71400.0,affordable_now,full_payment,2023-01-20:71400,2023-01-20,none,"Pay INR 71,400 today. This leaves at least INR 103,200 available over the next 90 days."
request_74,5010.0,affordable_now,full_payment,2025-08-04:5010,2025-08-04,none,"Pay ZAR 5,010 today. This leaves at least ZAR 21,900 available over the next 90 days."
request_75,28270.0,affordable_with_plan,installments,2026-04-09:9800.27|2026-05-09:9800.27|2026-06-08:9800.27,2026-04-06,none,"Use 3 installments of ZAR 9,800.27, starting 2026-04-09. This leaves at least ZAR 39,000 available."
request_76,1538.8,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-07-30. None of the available options keeps the USD 1,800 minimum protected."
request_77,60700.0,affordable_now,full_payment,2025-11-05:60700,2025-11-05,none,"Pay INR 60,700 today. This leaves at least INR 82,200 available over the next 90 days."
request_78,50200.0,affordable_now,full_payment,2025-10-02:50200,2025-10-02,none,"Pay INR 50,200 today. This leaves at least INR 55,200 available over the next 90 days."
request_79,1104.08,affordable_with_plan,partial_payment,2024-09-04:1104.08|2024-09-15:1047.52,2024-09-15,none,"Pay EUR 1,104.08 today and the remaining EUR 1,047.52 on 2024-09-15. This completes the full request and keeps the EUR 1,000 minimum protected."
request_80,152115.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-02-21. None of the available options keeps the INR 121,300 minimum protected."
request_81,2076.0,affordable_now,full_payment,2026-07-03:2076,2026-07-03,none,"Pay USD 2,076 today. This leaves at least USD 1,600 available over the next 90 days."
request_82,1011.4,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-02-15. None of the available options keeps the USD 1,100 minimum protected."
request_83,28330.0,not_affordable,not_recommended,none,2025-05-15,none,"Do not make this payment by 2025-06-17. None of the available options keeps the INR 37,800 minimum protected."
request_84,56565.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-06-15. None of the available options keeps the INR 91,300 minimum protected."
request_85,2422120.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-04-26. None of the available options keeps the IDR 6,396,300 minimum protected."
request_86,46300.0,affordable_now,full_payment,2025-08-03:46300,2025-08-03,none,"Pay INR 46,300 today. This leaves at least INR 84,900 available over the next 90 days."
request_87,92850.0,affordable_later,wait,2026-01-15:487900,2026-01-15,none,"Pay INR 487,900 in full on 2026-01-15. Paying earlier would take the balance below the INR 185,900 minimum."
request_88,15557.89,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-08-25. None of the available options keeps the ZAR 25,800 minimum protected."
request_89,13756000.0,affordable_with_plan,installments,2025-11-18:4.76875e+06|2025-12-16:4.76875e+06|2026-01-13:4.76875e+06,2025-11-04,none,"Use 3 installments of IDR 4,768,750, starting 2025-11-18. This leaves at least IDR 12,534,700 available."
request_90,2560.0,affordable_now,full_payment,2026-07-06:2560,2026-07-06,none,"Pay ZAR 2,560 today. This leaves at least ZAR 7,600 available over the next 90 days."
request_91,1927.2,affordable_now,full_payment,2024-09-03:1927.2,2024-09-03,none,"Pay EUR 1,927.20 today. This leaves at least EUR 2,100 available over the next 90 days."
request_92,34034.0,affordable_now,full_payment,2025-02-05:34034,2025-02-05,none,"Pay ZAR 34,034 today. This leaves at least ZAR 28,100 available over the next 90 days."
request_93,1729.2,affordable_now,full_payment,2026-04-07:1729.2,2026-04-07,none,"Pay USD 1,729.20 today. This leaves at least USD 1,900 available over the next 90 days."
request_94,572.0,affordable_now,full_payment,2024-12-04:572,2024-12-04,none,Pay EUR 572 today. This leaves at least EUR 600 available over the next 90 days.
request_95,137865.0,not_affordable,not_recommended,none,2025-05-23,none,"Do not make this payment by 2025-07-14. None of the available options keeps the INR 145,500 minimum protected."
request_96,90200.0,affordable_with_plan,installments,2026-01-10:31269.3|2026-02-09:31269.3|2026-03-11:31269.3,2026-01-03,none,"Use 3 installments of INR 31,269.30, starting 2026-01-10. This leaves at least INR 56,500 available."
request_97,8865.89,affordable_with_plan,installments,2024-03-19:8145.28|2024-04-19:8145.28|2024-05-20:8145.28,2024-03-15,none,"Use 3 installments of ZAR 8,145.28, starting 2024-03-19. This leaves at least ZAR 29,700 available."
request_98,17244.7,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-10-15. None of the available options keeps the ZAR 30,000 minimum protected."
request_99,18062.0,affordable_now,full_payment,2026-07-04:18062,2026-07-04,none,"Pay ZAR 18,062 today. This leaves at least ZAR 49,100 available over the next 90 days."
request_100,34836.13,affordable_with_plan,installments,2024-06-13:12866.2|2024-07-14:12866.2|2024-08-14:12866.2,2024-06-15,none,"Use 3 installments of ZAR 12,866.20, starting 2024-06-13. This leaves at least ZAR 32,500 available."
request_101,143500.0,affordable_now,full_payment,2025-11-03:143500,2025-11-03,none,"Pay INR 143,500 today. This leaves at least INR 187,400 available over the next 90 days."
request_102,1716.0,affordable_with_plan,installments,2026-04-05:594.88|2026-05-05:594.88|2026-06-04:594.88,2026-04-05,none,"Use 3 installments of EUR 594.88, starting 2026-04-05. This leaves at least EUR 900 available."
request_103,35759.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-10-07. None of the available options keeps the INR 125,500 minimum protected."
request_104,17204.0,affordable_now,full_payment,2025-02-04:17204,2025-02-04,none,"Pay ZAR 17,204 today. This leaves at least ZAR 24,700 available over the next 90 days."
request_105,53500.0,affordable_now,full_payment,2026-06-08:53500,2026-06-08,none,"Pay INR 53,500 today. This leaves at least INR 73,900 available over the next 90 days."
request_106,1401.7,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-02-15. None of the available options keeps the EUR 1,200 minimum protected."
request_107,2534.4,affordable_with_plan,installments,2025-05-08:878.59|2025-06-05:878.59|2025-07-03:878.59,2025-05-05,none,"Use 3 installments of EUR 878.59, starting 2025-05-08. This leaves at least EUR 1,600 available."
request_108,7836.4,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-07-26. None of the available options keeps the ZAR 24,100 minimum protected."
request_109,1276.46,affordable_with_plan,installments,2024-03-18:645.98|2024-04-18:645.98|2024-05-19:645.98,2024-03-15,none,"Use 3 installments of EUR 645.98, starting 2024-03-18. This leaves at least EUR 1,700 available."
request_110,22352.0,affordable_with_plan,installments,2025-08-06:7748.69|2025-09-03:7748.69|2025-10-01:7748.69,2025-08-06,none,"Use 3 installments of ZAR 7,748.69, starting 2025-08-06. This leaves at least ZAR 11,200 available."
request_111,16625000.0,affordable_now,full_payment,2026-04-03:1.6625e+07,2026-04-03,none,"Pay IDR 16,625,000 today. This leaves at least IDR 23,022,800 available over the next 90 days."
request_112,271.7,affordable_now,full_payment,2024-06-05:271.7,2024-06-05,none,Pay EUR 271.70 today. This leaves at least EUR 500 available over the next 90 days.
request_113,36500.0,affordable_now,full_payment,2026-09-04:36500,2026-09-04,none,"Pay INR 36,500 today. This leaves at least INR 82,300 available over the next 90 days."
request_114,65300.0,affordable_now,full_payment,2026-01-04:65300,2026-01-04,none,"Pay INR 65,300 today. This leaves at least INR 113,400 available over the next 90 days."
request_115,27135.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-11-15. None of the available options keeps the INR 38,800 minimum protected."
request_116,58075.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-04-16. None of the available options keeps the INR 80,300 minimum protected."
request_117,880.0,affordable_now,full_payment,2026-07-05:880,2026-07-05,none,"Pay EUR 880 today. This leaves at least EUR 1,000 available over the next 90 days."
request_118,738.1,affordable_with_plan,installments,2024-12-07:255.87|2025-01-07:255.87|2025-02-07:255.87,2024-12-07,none,"Use 3 installments of EUR 255.87, starting 2024-12-07. This leaves at least EUR 600 available."
request_119,130901.01,affordable_with_plan,installments,2025-05-18:70546.7|2025-06-15:70546.7|2025-07-13:70546.7,2025-05-15,none,"Use 3 installments of INR 70,546.70, starting 2025-05-18. This leaves at least INR 151,200 available."
request_120,7714000.0,affordable_now,full_payment,2026-04-06:7.714e+06,2026-04-06,none,"Pay IDR 7,714,000 today. This leaves at least IDR 20,050,300 available over the next 90 days."
request_121,633.6,affordable_now,full_payment,2024-03-03:633.6,2024-03-03,none,Pay USD 633.60 today. This leaves at least USD 800 available over the next 90 days.
request_122,20558000.0,affordable_with_plan,installments,2025-08-05:7.12677e+06|2025-09-02:7.12677e+06|2025-09-30:7.12677e+06,2025-08-05,none,"Use 3 installments of IDR 7,126,770, starting 2025-08-05. This leaves at least IDR 12,588,500 available."
request_123,4076000.0,affordable_now,full_payment,2026-01-07:4.076e+06,2026-01-07,none,"Pay IDR 4,076,000 today. This leaves at least IDR 18,091,200 available over the next 90 days."
request_124,2049.56,affordable_with_plan,installments,2024-06-11:1076.12|2024-07-12:1076.12|2024-08-12:1076.12,2024-06-15,none,"Use 3 installments of EUR 1,076.12, starting 2024-06-11. This leaves at least EUR 1,600 available."
request_125,6468.0,affordable_now,full_payment,2025-11-06:6468,2025-11-06,none,"Pay ZAR 6,468 today. This leaves at least ZAR 11,300 available over the next 90 days."
request_126,159600.0,affordable_now,full_payment,2026-07-03:159600,2026-07-03,none,"Pay INR 159,600 today. This leaves at least INR 129,700 available over the next 90 days."
request_127,23980.0,affordable_now,full_payment,2024-09-05:23980,2024-09-05,none,"Pay ZAR 23,980 today. This leaves at least ZAR 41,000 available over the next 90 days."
request_128,25168.0,affordable_now,full_payment,2025-02-07:25168,2025-02-07,none,"Pay ZAR 25,168 today. This leaves at least ZAR 42,600 available over the next 90 days."
request_129,288.0,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-06-18. None of the available options keeps the USD 800 minimum protected.
request_130,917.46,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-02-15. None of the available options keeps the USD 1,400 minimum protected."
request_131,1855.2,affordable_with_plan,installments,2025-05-06:643.14|2025-06-03:643.14|2025-07-01:643.14,2025-05-03,none,"Use 3 installments of USD 643.14, starting 2025-05-06. This leaves at least USD 1,100 available."
request_132,379.86,affordable_now,full_payment,2026-01-05:379.86,2026-01-05,none,"Pay USD 379.86 today. This leaves at least USD 1,100 available over the next 90 days."
request_133,15770000.0,not_affordable,not_recommended,none,2024-03-07,none,"Do not make this payment by 2024-03-29. None of the available options keeps the IDR 9,986,200 minimum protected."
request_134,12118200.0,affordable_later,wait,2025-08-15:2.1831e+07,2025-08-15,none,"Pay IDR 21,831,000 in full on 2025-08-15. Paying earlier would take the balance below the IDR 15,902,500 minimum."
request_135,304.8,affordable_now,full_payment,2026-07-06:304.8,2026-07-06,none,Pay USD 304.80 today. This leaves at least USD 500 available over the next 90 days.
request_136,560.4,affordable_now,full_payment,2024-06-03:560.4,2024-06-03,none,"Pay USD 560.40 today. This leaves at least USD 1,100 available over the next 90 days."
request_137,67960.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-01-15. None of the available options keeps the INR 71,800 minimum protected."
request_138,1209.9,affordable_with_plan,installments,2026-04-12:333.09|2026-05-12:333.09|2026-06-11:333.09|2026-07-11:333.09,2026-07-11,none,"Use 4 installments of EUR 333.09, starting 2026-04-12. This leaves at least EUR 2,300 available."
request_139,2185.84,affordable_with_plan,installments,2024-09-07:802.88|2024-10-08:802.88|2024-11-08:802.88,2024-09-15,none,"Use 3 installments of USD 802.88, starting 2024-09-07. This leaves at least USD 1,500 available."
request_140,11074.8,not_affordable,not_recommended,none,2025-02-15,none,"Do not make this payment by 2025-03-04. None of the available options keeps the ZAR 21,600 minimum protected."
request_141,51435.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-02-12. None of the available options keeps the INR 67,300 minimum protected."
request_142,1263.6,affordable_now,full_payment,2024-12-05:1263.6,2024-12-05,none,"Pay USD 1,263.60 today. This leaves at least USD 1,700 available over the next 90 days."
request_143,8384.2,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-07-15. None of the available options keeps the ZAR 11,300 minimum protected."
request_144,233.34,affordable_now,full_payment,2026-07-04:233.34,2026-07-04,none,Pay USD 233.34 today. This leaves at least USD 600 available over the next 90 days.
request_145,105613.66,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-05-26. None of the available options keeps the INR 155,400 minimum protected."
request_146,81465.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-10-17. None of the available options keeps the INR 108,600 minimum protected."
request_147,741.53,affordable_with_plan,installments,2026-04-08:391.63|2026-05-08:391.63|2026-06-07:391.63,2026-04-15,none,"Use 3 installments of EUR 391.63, starting 2026-04-08. This leaves at least EUR 900 available."
request_148,13181.08,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-08-18. None of the available options keeps the ZAR 20,000 minimum protected."
request_149,36652.0,affordable_with_plan,installments,2025-11-18:12706|2025-12-16:12706|2026-01-13:12706,2025-11-04,none,"Use 3 installments of ZAR 12,706, starting 2025-11-18. This leaves at least ZAR 42,100 available."
request_150,496.1,affordable_with_plan,installments,2026-01-06:171.98|2026-02-05:171.98|2026-03-07:171.98,2026-01-06,none,"Use 3 installments of EUR 171.98, starting 2026-01-06. This leaves at least EUR 700 available."
request_151,26999000.0,affordable_now,full_payment,2024-09-03:2.6999e+07,2024-09-03,none,"Pay IDR 26,999,000 today. This leaves at least IDR 31,633,600 available over the next 90 days."
request_152,13882.0,affordable_with_plan,installments,2025-02-12:4812.43|2025-03-12:4812.43|2025-04-09:4812.43,2025-02-05,none,"Use 3 installments of ZAR 4,812.43, starting 2025-02-12. This leaves at least ZAR 11,900 available."
request_153,503.6,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-09-24. None of the available options keeps the USD 1,400 minimum protected."
request_154,1625.8,affordable_with_plan,installments,2024-12-04:563.61|2025-01-04:563.61|2025-02-04:563.61,2024-12-04,none,"Use 3 installments of EUR 563.61, starting 2024-12-04. This leaves at least EUR 1,300 available."
request_155,112500.0,affordable_now,full_payment,2025-05-06:112500,2025-05-06,none,"Pay INR 112,500 today. This leaves at least INR 56,300 available over the next 90 days."
request_156,13588.3,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-06-15. None of the available options keeps the ZAR 26,900 minimum protected."
request_157,10091850.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-05-15. None of the available options keeps the IDR 15,714,100 minimum protected."
request_158,242600.0,affordable_with_plan,installments,2025-08-07:84101.3|2025-09-04:84101.3|2025-10-02:84101.3,2025-08-07,none,"Use 3 installments of INR 84,101.30, starting 2025-08-07. This leaves at least INR 131,400 available."
request_159,13398.0,affordable_now,full_payment,2026-01-04:13398,2026-01-04,none,"Pay ZAR 13,398 today. This leaves at least ZAR 8,700 available over the next 90 days."
request_160,857.61,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-08-20. None of the available options keeps the EUR 1,200 minimum protected."
request_161,17241550.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-01-15. None of the available options keeps the IDR 23,010,400 minimum protected."
request_162,8601300.0,affordable_later,wait,2026-07-15:8.3923e+07,2026-07-15,none,"Pay IDR 83,923,000 in full on 2026-07-15. Paying earlier would take the balance below the IDR 24,161,100 minimum."
request_163,19304000.0,affordable_with_plan,installments,2024-09-10:6.69205e+06|2024-10-11:6.69205e+06|2024-11-11:6.69205e+06,2024-09-07,none,"Use 3 installments of IDR 6,692,050, starting 2024-09-10. This leaves at least IDR 26,728,700 available."
request_164,27018000.0,affordable_with_plan,installments,2025-02-11:9.36624e+06|2025-03-11:9.36624e+06|2025-04-08:9.36624e+06,2025-02-04,none,"Use 3 installments of IDR 9,366,240, starting 2025-02-11. This leaves at least IDR 29,550,500 available."
request_165,80600.0,affordable_now,full_payment,2026-04-06:80600,2026-04-06,none,"Pay INR 80,600 today. This leaves at least INR 95,000 available over the next 90 days."
request_166,2907.6,affordable_with_plan,installments,2024-12-03:1007.97|2025-01-03:1007.97|2025-02-03:1007.97,2024-12-03,none,"Use 3 installments of USD 1,007.97, starting 2024-12-03. This leaves at least USD 1,700 available."
request_167,43802.0,affordable_now,full_payment,2025-05-05:43802,2025-05-05,none,"Pay ZAR 43,802 today. This leaves at least ZAR 31,200 available over the next 90 days."
request_168,49380.0,not_affordable,not_recommended,none,2026-01-07,none,"Do not make this payment by 2026-03-16. None of the available options keeps the INR 114,400 minimum protected."
request_169,41976.0,affordable_now,full_payment,2024-03-04:41976,2024-03-04,none,"Pay ZAR 41,976 today. This leaves at least ZAR 18,700 available over the next 90 days."
request_170,36936000.0,affordable_with_plan,installments,2025-08-06:1.28045e+07|2025-09-03:1.28045e+07|2025-10-01:1.28045e+07,2025-08-06,none,"Use 3 installments of IDR 12,804,500, starting 2025-08-06. This leaves at least IDR 24,715,800 available."
request_171,310.65,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-09-10. None of the available options keeps the EUR 500 minimum protected.
request_172,10200.0,affordable_with_plan,installments,2024-06-05:5304|2024-07-03:5304,2024-06-05,none,"Use 2 installments of ZAR 5,304, starting 2024-06-05. This leaves at least ZAR 27,200 available."
request_173,83190.53,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-01-17. None of the available options keeps the INR 79,100 minimum protected."
request_174,1146.2,affordable_with_plan,installments,2026-04-04:397.35|2026-05-04:397.35|2026-06-03:397.35,2026-04-04,none,"Use 3 installments of EUR 397.35, starting 2026-04-04. This leaves at least EUR 700 available."
request_175,2346.3,affordable_now,full_payment,2024-09-06:2346.3,2024-09-06,none,"Pay EUR 2,346.30 today. This leaves at least EUR 1,700 available over the next 90 days."
request_176,686.95,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-02-27. None of the available options keeps the EUR 600 minimum protected.
request_177,1017.6,affordable_now,full_payment,2026-01-05:1017.6,2026-01-05,none,"Pay USD 1,017.60 today. This leaves at least USD 1,300 available over the next 90 days."
request_178,2938.1,affordable_with_plan,installments,2024-12-07:1018.54|2025-01-07:1018.54|2025-02-07:1018.54,2024-12-07,none,"Use 3 installments of EUR 1,018.54, starting 2024-12-07. This leaves at least EUR 1,400 available."
request_179,37957250.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-07-15. None of the available options keeps the IDR 41,430,800 minimum protected."
request_180,66500.0,affordable_now,full_payment,2026-07-06:66500,2026-07-06,none,"Pay INR 66,500 today. This leaves at least INR 37,300 available over the next 90 days."
request_181,1141.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-04-07. None of the available options keeps the USD 2,000 minimum protected."
request_182,65714.0,affordable_now,full_payment,2025-08-05:65714,2025-08-05,none,"Pay ZAR 65,714 today. This leaves at least ZAR 31,100 available over the next 90 days."
request_183,26866000.0,affordable_with_plan,installments,2026-04-10:9.31355e+06|2026-05-10:9.31355e+06|2026-06-09:9.31355e+06,2026-04-07,none,"Use 3 installments of IDR 9,313,550, starting 2026-04-10. This leaves at least IDR 11,878,300 available."
request_184,47540.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-07-30. None of the available options keeps the INR 110,800 minimum protected."
request_185,783.4,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-01-15. None of the available options keeps the EUR 1,300 minimum protected."
request_186,22863.5,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-03-15. None of the available options keeps the ZAR 22,000 minimum protected."
request_187,67435.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-11-15. None of the available options keeps the INR 128,300 minimum protected."
request_188,585.3,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-03-04. None of the available options keeps the EUR 900 minimum protected.
request_189,488.4,affordable_now,full_payment,2026-07-04:488.4,2026-07-04,none,Pay EUR 488.40 today. This leaves at least EUR 400 available over the next 90 days.
request_190,1555.8,affordable_later,wait,2024-12-15:2557.5,2024-12-15,none,"Pay EUR 2,557.50 in full on 2024-12-15. Paying earlier would take the balance below the EUR 1,600 minimum."
request_191,664.4,affordable_now,full_payment,2025-05-03:664.4,2025-05-03,none,Pay EUR 664.40 today. This leaves at least EUR 500 available over the next 90 days.
request_192,384.8,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-05-11. None of the available options keeps the USD 1,000 minimum protected."
request_193,310.62,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-05-28. None of the available options keeps the EUR 1,000 minimum protected."
